# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI),,,,
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# STN         LON(east)   LAT(north)  ALT(m)      NAME,,,,
# 275         5.873       52.056      48.20       Deelen      ,,,,
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius),,,,
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2),,,,
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm),,,,
# STN,YYYYMMDD,   TG,    Q,   RH
275,19960819,230,2109,0
275,19960820,238,2160,0
275,19960821,189,840,5
275,19960822,176,1701,0
275,19960823,187,1506,29
275,19960824,157,1398,40
275,19960825,148,1418,35
275,19960826,154,1489,2
275,19960827,152,1198,7
275,19960828,139,376,191
275,19960829,140,309,169
275,19960830,151,959,19
275,19960831,129,1184,21
275,19960901,117,1048,9
275,19960902,125,1780,0
275,19960903,148,1856,0
275,19960904,141,921,-1
275,19960905,142,1989,0
275,19960906,114,1395,0
275,19960907,110,1774,0
275,19960908,105,1182,0
275,19960909,130,1510,-1
275,19960910,123,778,6
275,19960911,117,639,1
275,19960912,117,1154,90
275,19960913,113,977,102
275,19960914,129,961,-1
275,19960915,116,876,-1
275,19960916,117,1711,0
275,19960917,110,1738,0
275,19960918,109,1127,0
275,19960919,103,1074,0
275,19960920,108,1047,0
275,19960921,90,723,0
275,19960922,89,202,14
275,19960923,99,443,11
275,19960924,107,855,0
275,19960925,116,1175,0
275,19960926,134,1137,6
275,19960927,133,737,99
275,19960928,126,580,-1
275,19960929,142,161,132
275,19960930,148,632,108
275,19961001,96,298,93
275,19961002,89,1078,0
275,19961003,111,1013,0
275,19961004,114,1091,32
275,19961005,86,663,2
275,19961006,76,850,0
275,19961007,84,1189,0
275,19961008,93,878,0
275,19961009,117,242,-1
275,19961010,105,243,15
275,19961011,103,541,0
275,19961012,94,428,0
275,19961013,122,996,0
275,19961014,151,889,0
275,19961015,127,366,-1
275,19961016,87,473,0
275,19961017,84,762,0
275,19961018,89,815,17
275,19961019,107,792,19
275,19961020,120,119,147
275,19961021,114,283,72
275,19961022,85,719,0
275,19961023,93,815,0
275,19961024,93,856,0
275,19961025,102,526,-1
275,19961026,103,537,11
275,19961027,103,101,163
275,19961028,130,209,13
275,19961029,101,490,87
275,19961030,85,400,-1
275,19961031,91,200,93
275,19961101,108,274,27
275,19961102,131,46,42
275,19961103,132,56,74
275,19961104,125,88,58
275,19961105,94,250,53
275,19961106,108,321,60
275,19961107,80,67,225
275,19961108,54,594,-1
275,19961109,67,434,16
275,19961110,64,98,111
275,19961111,68,120,82
275,19961112,82,272,-1
275,19961113,48,389,11
275,19961114,19,584,-1
275,19961115,11,616,0
275,19961116,30,345,0
275,19961117,9,137,0
275,19961118,28,95,63
275,19961119,26,330,82
275,19961120,50,109,44
275,19961121,27,245,84
275,19961122,29,464,-1
275,19961123,5,115,46
275,19961124,9,120,5
275,19961125,30,28,140
275,19961126,25,72,-1
275,19961127,-1,247,0
275,19961128,4,237,0
